District ,Mandal,Muncipality,WardName,female,male,transgender
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.19,234,61,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.20,278,107,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.21,617,325,3
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.22,378,229,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.23,256,92,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.24,334,158,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.25,258,103,
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.26,389,173,1
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.27,585,332,2
ADILABAD,NIRMAL,Nirmal,Revenue Ward No.28,957,534,2
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.1,207,118,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.10,179,87,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.11,152,56,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.12,137,73,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.13,61,35,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.14,145,59,1
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.15,101,44,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.16,327,197,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.17,121,72,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.18,198,123,4
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.19,204,121,1
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.2,67,29,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.20,68,28,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.21,43,24,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.22,8,10,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.3,46,11,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.4,132,79,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.5,141,94,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.6,233,150,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.7,101,39,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.8,81,35,
KARIMNAGAR,HUSNABAD,Husnabad,Revenue Ward No.9,128,56,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No 21,293,174,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.1,227,91,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.10,81,29,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.11,92,28,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.12,158,60,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.13,64,20,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.14,81,31,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.15,87,33,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.16,78,33,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.17,28,13,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.18,147,77,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.19,73,28,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.2,108,41,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.20,155,65,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.3,377,204,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.4,67,26,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.5,211,112,
