District ,Mandal,GP,female,male,transgender
ADILABAD,NERADIGONDA,TARNAM (K),273,158,
ADILABAD,NERADIGONDA,TEJAPUR,565,291,3
ADILABAD,NERADIGONDA,VENKATAPUR,218,111,1
ADILABAD,NERADIGONDA,WADDUR,632,350,4
ADILABAD,NERADIGONDA,WAGDHARI,310,164,1
ADILABAD,NERADIGONDA,WANKIDI,519,297,1
ADILABAD,NIRMAL,AKKAPUR,445,267,
ADILABAD,NIRMAL,ANATHPET,425,241,1
ADILABAD,NIRMAL,BHAGYANAGAR,275,141,1
ADILABAD,NIRMAL,CHITYAL,588,345,2
ADILABAD,NIRMAL,DYANGAPUR,176,97,
ADILABAD,NIRMAL,GANJAL,342,210,4
ADILABAD,NIRMAL,JAFRAPUR,522,345,3
ADILABAD,NIRMAL,KADTHAL,753,417,2
ADILABAD,NIRMAL,KONDAPUR,390,189,1
ADILABAD,NIRMAL,KOUTLA (K),454,308,2
ADILABAD,NIRMAL,MADHAPUR,717,458,2
ADILABAD,NIRMAL,MANJLAPUR,1006,503,2
ADILABAD,NIRMAL,MEDIPALLY,425,281,4
ADILABAD,NIRMAL,MUJGI,679,431,2
ADILABAD,NIRMAL,MUKTAPUR,394,221,
ADILABAD,NIRMAL,NEELAIPET,388,226,
ADILABAD,NIRMAL,NEW POCHAMPAD,205,130,1
ADILABAD,NIRMAL,PAKPATLA,1149,806,
ADILABAD,NIRMAL,RATNAPUR KONDLI,676,390,2
ADILABAD,NIRMAL,SIDDANKUNTA,509,293,4
ADILABAD,NIRMAL,SOAN,1255,778,10
ADILABAD,NIRMAL,TALWADA,289,172,
ADILABAD,NIRMAL,VENGVAPET,576,287,
ADILABAD,NIRMAL,VENKATAPUR,412,189,1
ADILABAD,NIRMAL,YELLAIPALLY,429,298,1
ADILABAD,SARANGAPUR,ALUR,796,468,3
ADILABAD,SARANGAPUR,BEERVELLI,732,405,3
ADILABAD,SARANGAPUR,BOREGAON,624,387,2
ADILABAD,SARANGAPUR,CHINCHOLI (B),793,410,1
ADILABAD,SARANGAPUR,CHINCHOLI (M),684,390,1
ADILABAD,SARANGAPUR,DHANI,697,442,
ADILABAD,SARANGAPUR,GOPALPET,517,305,3
ADILABAD,SARANGAPUR,JAM,1724,1015,4
ADILABAD,SARANGAPUR,JEWLY,427,270,1
ADILABAD,SARANGAPUR,KANKATI,391,250,1
ADILABAD,SARANGAPUR,KOWTLA (B),1216,758,1
ADILABAD,SARANGAPUR,PIYARAMUR,341,175,
ADILABAD,SARANGAPUR,PONKUR,661,403,1
ADILABAD,SARANGAPUR,POTIA,931,639,1
ADILABAD,SARANGAPUR,SARANGAPUR,1643,1012,4
ADILABAD,SARANGAPUR,TANDRA,353,205,1
ADILABAD,SARANGAPUR,VAIKUNTAPUR,290,158,
ADILABAD,SARANGAPUR,vANJAR,352,204,
ADILABAD,TALAMADUGU,ARLI(K),408,253,
ADILABAD,TALAMADUGU,BHARAMPUR,845,527,5
ADILABAD,TALAMADUGU,DEVAPUR,728,416,4
ADILABAD,TALAMADUGU,JHARI,597,338,2
ADILABAD,TALAMADUGU,KAJJARLA,554,354,2
ADILABAD,TALAMADUGU,KAPPARDEVI,230,157,
ADILABAD,TALAMADUGU,KHODAD,433,218,
ADILABAD,TALAMADUGU,KUCHALAPOOR,830,518,10
ADILABAD,TALAMADUGU,LINGI,351,204,
ADILABAD,TALAMADUGU,PALASI B,321,195,
ADILABAD,TALAMADUGU,PALLE(B),545,360,2
ADILABAD,TALAMADUGU,RUYYADI,475,267,3
ADILABAD,TALAMADUGU,SUNKIDI,493,276,1
ADILABAD,TALAMADUGU,TALAMADUGU,883,517,3
ADILABAD,TALAMADUGU,UMDAM,254,116,1
ADILABAD,TALAMADUGU,UMRI,318,176,2
ADILABAD,TAMSI,ANDARBANDH,327,244,2
ADILABAD,TAMSI,ANTARGAON,200,123,
ADILABAD,TAMSI,ARLI (T),644,392,1
ADILABAD,TAMSI,BANDAL NAGPUR,444,260,3
ADILABAD,TAMSI,BELSARI RAMPUR,270,169,1
ADILABAD,TAMSI,BHEEMPOOR,406,254,
ADILABAD,TAMSI,DHANORA,498,340,1
ADILABAD,TAMSI,GHOTKURI,263,141,2
ADILABAD,TAMSI,GIRIGAON,421,286,2
ADILABAD,TAMSI,GOMUTRI,369,238,1
ADILABAD,TAMSI,GONA,160,113,
ADILABAD,TAMSI,HASNAPUR,157,84,1
ADILABAD,TAMSI,JAMIDI,255,182,
ADILABAD,TAMSI,KARANJI (T),550,357,3
ADILABAD,TAMSI,KHAPPERLA,733,403,5
ADILABAD,TAMSI,NIPPANI,466,263,2
ADILABAD,TAMSI,PIPPALKOTI,764,472,1
ADILABAD,TAMSI,PONNARI,564,322,1
ADILABAD,TAMSI,TAMSI (B),699,371,3
ADILABAD,TAMSI,TAMSI (K),306,202,2
ADILABAD,TAMSI,WADDADI,283,171,
ADILABAD,TAMSI,WADGAON,266,202,1
ADILABAD,TAMSI,WADOOR,301,218,1
ADILABAD,TANOOR,BELTARODA,578,330,1
ADILABAD,TANOOR,BEMBER,452,288,3
ADILABAD,TANOOR,BHOSI,501,265,1
ADILABAD,TANOOR,BOLSA,379,206,1
ADILABAD,TANOOR,DOULTABAD,390,255,1
ADILABAD,TANOOR,ELVI,467,249,4
ADILABAD,TANOOR,HANGIRGA,520,303,1
ADILABAD,TANOOR,HIPNALLY,426,276,1
ADILABAD,TANOOR,JEWLA (B),390,239,1
ADILABAD,TANOOR,JEWLA (K),588,408,1
ADILABAD,TANOOR,JHARI (B),405,262,1
ADILABAD,TANOOR,KOLUR,724,378,
ADILABAD,TANOOR,MAHALINGI,806,429,1
ADILABAD,TANOOR,MUGLI,492,338,2
ADILABAD,TANOOR,SINGANGAM,251,164,
ADILABAD,TANOOR,TANUR,986,656,
ADILABAD,TANOOR,TONDALA,216,151,1
ADILABAD,TANOOR,UMRI(K),248,146,
ADILABAD,TANOOR,WADGAON,263,143,
ADILABAD,TANOOR,YELLAWAT,457,287,2
ADILABAD,UTNOOR,BIRSAIPET,889,615,5
ADILABAD,UTNOOR,CHANDUR,351,214,1
ADILABAD,UTNOOR,DANTHANPALLE,1107,733,8
ADILABAD,UTNOOR,GHANPUR,283,189,2
ADILABAD,UTNOOR,HASNAPUR,900,469,4
ADILABAD,UTNOOR,LAKKARAM,1101,591,4
ADILABAD,UTNOOR,LUXETTIPET,410,290,1
ADILABAD,UTNOOR,NAGAPUR,567,361,4
ADILABAD,UTNOOR,NARSAPUR (B),765,487,1
ADILABAD,UTNOOR,PULIMADGU,709,376,1
ADILABAD,UTNOOR,SALEWADA (B),566,380,2
ADILABAD,UTNOOR,SALEWADA (K),430,286,3
ADILABAD,UTNOOR,SHAMPUR,437,233,1
ADILABAD,UTNOOR,UMRI,590,316,4
ADILABAD,UTNOOR,UTNUR,2916,1732,8
ADILABAD,UTNOOR,YENDA,382,230,
ADILABAD,ASIFABAD,ADA,501,405,2
ADILABAD,ASIFABAD,ADA DASNAPUR,601,469,2
ADILABAD,ASIFABAD,ASIFABAD,3013,1670,4
ADILABAD,ASIFABAD,BABAPUR,965,673,3
ADILABAD,ASIFABAD,BURUGUDA,1144,775,1
ADILABAD,ASIFABAD,CHIRRAKUNTA,943,582,3
ADILABAD,ASIFABAD,EDULAWADA,636,436,5
ADILABAD,ASIFABAD,GUNDI,536,396,1
ADILABAD,ASIFABAD,MOWAD,526,310,
